"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2020-09-25","96.3","-2.56","5.97","DJ LeMahieu",518934,645261,"field_out","hit_into_play",,,,,"5","DJ LeMahieu grounds out sharply, shortstop Miguel Rojas to first baseman Jesus Aguilar.  ","R","R","R","NYY","MIA","X",6,"ground_ball",0,2,2020,"-0.8","1.3","-0.07","2.56","null","null","null",0,1,"Bot","105.83","133.50",,,"595453",,"null",8.414485371783247,-139.82778351638598,-6.326427432712073,-12.84878221970447,32.78406461565828,-13.976849921589338,"3.36","1.61","10","101.8","-17","95.4","2326","6.0",631191,645261,"595453","542583","542932","605119","500743","572816","516782","621446","54.52","0.157","0.141","0.00",1,0,0,2,7,"3","4-Seam Fastball",0,3,0,3,3,0,0,3,"Standard","Standard"
"CH","2020-09-24","79.8","2.49","5.67","DJ LeMahieu",518934,547943,"field_out","hit_into_play",,,,,"8","DJ LeMahieu flies out to right fielder Teoscar Hernandez.  ","R","R","L","TOR","NYY","X",9,"fly_ball",0,1,2020,"0.9","0.4","0.23","1.85","null","null",640449,2,7,"Top","194.95","118.72",,,"643376",,"null",-6.708551638688863,-116.11023414674875,-2.466073544978679,9.394062280925084,20.197671701809902,-28.287963841477996,"3.36","1.61","267","85.8","47","80.4","1402","6.5",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","53.98","0.007","0.006","0.00",1,0,0,3,55,"2","Changeup",4,0,0,4,0,4,0,4,"Strategic","Standard"
"FC","2020-09-24","87.2","2.21","5.97","DJ LeMahieu",518934,547943,"field_out","hit_into_play",,,,,"2","DJ LeMahieu grounds out, shortstop Bo Bichette to first baseman Vladimir Guerrero Jr. ","R","R","L","TOR","NYY","X",6,"ground_ball",0,1,2020,"0.1","0.7","-0.14","3.02","null","null",458731,2,5,"Top","114.39","156.88",,,"643376",,"null",-5.827283610537305,-127.00829105224572,-2.4817882763067187,1.9623176434372238,23.62498938407536,-24.093482841279645,"3.36","1.61","6","89.9","-34","87.7","1969","6.4",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.13","0.057","0.051","0.00",1,0,0,2,36,"2","Cutter",2,0,0,2,0,2,0,2,"Strategic","Standard"
"SI","2020-09-24","89.9","2.30","5.77","DJ LeMahieu",518934,547943,"single","hit_into_play_no_out",,,,,"9","DJ LeMahieu singles on a line drive to right fielder Teoscar Hernandez.  ","R","R","L","TOR","NYY","X",9,"line_drive",0,0,2020,"1.1","0.8","0.42","1.52","null","null","null",2,3,"Top","178.64","131.68",,,"643376",,"null",-6.9648475251682465,-130.74355603710754,-6.403196728056989,13.978819188496304,25.331507273155793,-21.326858156414254,"3.36","1.61","205","75.2","19","90.2","1951","6.3",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.20","0.936","0.842","0.90",1,1,0,4,17,"1","Sinker",1,0,0,1,0,1,0,1,"Strategic","Standard"
"FF","2020-09-24","89.0","2.23","6.01","DJ LeMahieu",518934,547943,"field_out","hit_into_play",,,,,"1","DJ LeMahieu flies out to left fielder Lourdes Gurriel Jr. ","R","R","L","TOR","NYY","X",7,"fly_ball",0,1,2020,"0.7","1.1","-0.77","3.25","null","null","null",0,1,"Top","105.81","50.85",,,"643376",,"null",-8.868522064401335,-129.3573099929398,-3.0561691446252905,9.901513886993628,26.67038156186847,-19.31648593036604,"3.36","1.61","354","94.6","27","89.1","1974","6.4",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.10","0.186","0.209","0.00",1,0,0,5,1,"2","4-Seam Fastball",0,0,0,0,0,0,0,0,"Strategic","Strategic"
"FF","2020-09-23","92.9","-0.70","7.07","DJ LeMahieu",518934,548389,"field_out","hit_into_play",,,,,"4","DJ LeMahieu flies out to right fielder Teoscar Hernandez in foul territory.  ","R","R","R","TOR","NYY","X",9,"fly_ball",1,1,2020,"-0.4","1.6","-0.59","2.60","null","null","null",1,7,"Top","199.67","151.58",,,"643376",,"null",1.100521382006522,-135.1223524566946,-9.037352946535163,-4.837202804258252,27.23078522528025,-11.439387320575605,"3.36","1.61","267","89.5","46","92.5","2282","5.9",630885,548389,"643376","665489","624415","543768","605412","666971","545341","606192","54.58","0.007","0.010","0.00",1,0,0,3,68,"3","4-Seam Fastball",13,1,1,13,1,13,1,13,"Strategic","Strategic"
"SL","2020-09-23","87.8","2.55","5.96","DJ LeMahieu",518934,592662,"single","hit_into_play_no_out",,,,,"8","DJ LeMahieu singles on a ground ball to right fielder Teoscar Hernandez.   Clint Frazier to 2nd.  ","R","R","L","TOR","NYY","X",9,"ground_ball",2,2,2020,"0.0","0.7","-0.03","2.04","null","null",640449,0,5,"Top","177.51","118.39",,,"643376",,"null",-6.203952881308896,-127.81843385278128,-4.903985022573571,0.9394810067573327,22.430876120423346,-23.739508976891198,"3.36","1.61","57","97.9","2","88.4","2350","6.3",630885,592662,"643376","665489","624415","543768","605412","666971","545341","606192","54.22","0.443","0.399","0.90",1,1,0,4,42,"6","Slider",5,1,1,5,1,5,1,5,"Standard","Standard"
"SL","2020-09-23","85.8","2.60","6.18","DJ LeMahieu",518934,592662,"single","hit_into_play_no_out",,,,,"9","DJ LeMahieu singles on a ground ball to center fielder Randal Grichuk.  ","R","R","L","TOR","NYY","X",8,"ground_ball",2,2,2020,"0.2","0.4","0.79","1.70","null","null","null",0,3,"Top","132.75","127.62",,,"643376",,"null",-4.628168370898807,-124.91413065038853,-5.1752565442595575,2.8333547132414703,22.67384569796114,-27.26929098125856,"3.36","1.61","119","85.9","7","85.7","2414","6.0",630885,592662,"643376","665489","624415","543768","605412","666971","545341","606192","54.49","0.457","0.411","0.90",1,1,0,4,20,"5","Slider",2,1,1,2,1,2,1,2,"Standard","Standard"
"FF","2020-09-23","94.3","2.14","6.31","DJ LeMahieu",518934,592662,"field_out","hit_into_play",,,,,"1","DJ LeMahieu grounds out, third baseman Travis Shaw to first baseman Vladimir Guerrero Jr. ","R","R","L","TOR","NYY","X",5,"ground_ball",1,1,2020,"0.5","1.3","-0.62","2.87","null","null","null",0,1,"Top","87.14","142.61",,,"643376",,"null",-8.24404127867934,-137.03908227713785,-6.150436565679801,7.998942848806634,28.104623059728713,-14.481339841423994,"3.36","1.61","12","97.1","-13","94.1","2443","6.1",630885,592662,"643376","665489","624415","543768","605412","666971","545341","606192","54.41","0.179","0.161","0.00",1,0,0,2,1,"3","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"SI","2020-09-22","90.6","-1.12","6.67","DJ LeMahieu",518934,521655,"field_out","hit_into_play",,,,,"1","DJ LeMahieu grounds out, shortstop Bo Bichette to first baseman Vladimir Guerrero Jr. ","R","R","R","TOR","NYY","X",6,"ground_ball",0,0,2020,"-1.1","1.1","-0.50","2.89","null",543309,"null",2,8,"Top","103.33","136.75",,,"672386",,"null",3.7585568706494006,-131.9055380299892,-5.843068740085613,-13.110683730451294,24.631423895631638,-18.688134646766386,"3.36","1.61","18","94.3","-9","90.8","1962","6.1",630881,521655,"672386","665489","605412","624415","666182","666971","641505","606192","54.37","0.157","0.141","0.00",1,0,0,2,61,"1","Sinker",1,10,10,1,10,1,10,1,"Standard","Strategic"
